,id,created_at,user,text,language,lat,lng,user location,user utc offset,user time zone,,lemmas
,'398747201662222336',1383874915.0,yocezto,"Pag-alis mo sa bansa, sama mo na rin si Napoles pls. @BagyongYoIanda",tl,14.57343263,120.9975392,,-32400.0,Alaska,,"['pag', 'alis', 'bansa', 'sama', 'rin', 'napoles', 'pls']"
,'398748717454331904',1383875277.0,fibim08,"Ang kagandahan mo ay parang Janet Napoles""HINDI KO PO ALAM""",tl,14.690401300000001,121.0316615,"MNL, PHL",,,,"['ang', 'kagandahan', 'parang', 'janet', 'napoles""hindi', 'alam']"
,'398749310520537088',1383875418.0,_LatersBaby,@_LatersBaby: POTANGINA tama na Yolanda! Tama na! Sa selda ka na lng ni Napoles mag hasik ng lagim pwde? #PrayForThePhilippines,tl,14.45995865,121.03061773,MNL,-32400.0,Alaska,,"['potangina', 'tama', 'yolanda', 'tama', 'selda', 'lng', 'napoles', 'mag', 'hasik', 'lagim', 'pwde', 'prayforthephilippine']"
,'398750036554555392',1383875591.0,FIDERalism,"Andaming pera ni napoles, di niya naisipang pagawa muka niya?",tl,14.61060758,121.03691935,IG-@FIDERalism,28800.0,Beijing,,"['andam', 'pera', 'napole', 'niya', 'naisipang', 'pagawa', 'muka', 'niya']"
,'398750903705939968',1383875798.0,mondcollantes,Bat di na lang kasi ialay na lang si Napoles kay Yolanda para tumigil na yang bagyong yan,tl,14.316466199999999,121.06115420000002,Carmona. Cavite,,,,"['bat', 'lang', 'kasi', 'ialay', 'lang', 'napoles', 'kay', 'yolanda', 'para', 'tumigil', 'yang', 'bagyong', 'yan']"
,'398750936517980160',1383875806.0,Flawless1127,Napoles sadyabang ugali mo magnakaw ng kaban ng bayan .. Siguro nung Bata ka mahilig ka mangupit Sa nanay  mo ,tl,15.732529999999999,120.5652,tarlac,28800.0,Singapore,,"['napole', 'sadyabang', 'ugali', 'magnakaw', 'kaban', 'bayan', 'siguro', 'nung', 'bata', 'mahilig', 'mangupit', 'nanay']"
,'398751382594781184',1383875912.0,limeongko,Na NAPOLES-ZONED KA NA BA? HAHAHHAHAA,tl,40.697488,-73.979681,"New York, NY",28800.0,Singapore,,"['napoles', 'zoned', 'hahahhahaa']"
,'398753217896411138',1383876350.0,Flawless1127,Napoles Sama kana Kay Yolanda,id,15.732529999999999,120.5652,tarlac,28800.0,Singapore,,"['napole', 'sama', 'kana', 'kay', 'yolanda']"
,'398753810622865408',1383876491.0,flambert_13,"Dear Yolanda, pakitangay na lang si #Napoles at  ang #chicser . Labyu!",tl,14.48070899,121.30943563,Philippines,,,,"['dear', 'yolanda', 'pakitangay', 'lang', 'napole', 'ang', 'chicser', 'labyu']"
,'398753948342812672',1383876524.0,HeyyREINAJOY,@aibielopez aww. Na-napoles!! Haha. Yung nagtrending ga 'to? Hahahaha.,tl,13.7760687,121.06177679999999,"Batangas City, PH",-21600.0,Central Time (US & Canada),,"['aww', 'napole', 'haha', 'yung', 'nagtrend', 'hahahaha']"
,'398754224462245890',1383876590.0,Flawless1127,Kung dati ang meaning ng NP no problem ngayon NAPOLES PANGET ,tl,15.732529999999999,120.5652,tarlac,28800.0,Singapore,,"['kung', 'dati', 'ang', 'mean', 'problem', 'ngayon', 'napoles', 'panget']"
,'398754619364368386',1383876684.0,Nikkiii_28,Hindi ko po alam kung bakit bitter ako-.-*Napoles style*,tl,14.96885916,120.63636188,EXOcytosises,-32400.0,Alaska,,"['hindi', 'alam', 'kung', 'bakit', 'bitter', 'ako-.-*napole', 'style']"
,'398755175675871233',1383876817.0,inahrawr,Napaka sinungaling. Idol ata nito si Napoles eh,tl,14.37900924,120.98900468,MNL,-28800.0,Pacific Time (US & Canada),,"['napaka', 'sinungaling', 'idol', 'ata', 'nito', 'napole']"
,'398755225206415360',1383876828.0,ChrstnGnzls,@BagyongYoIanda: Wag kayong mag-alala isasama ko si napoles.,tl,14.60360865,121.02720501,San Juan City,-32400.0,Alaska,,"['wag', 'kayong', 'mag', 'alala', 'isasama', 'napole']"
,'398755365073874944',1383876862.0,iamjmpg,"@ShutangInaDre: Ang kagandahan mo parang JANET NAPOLES. ""Hindi ko alam!"" Ang hard. Ahahaha",tl,14.73448661,121.15201449,Philippines,-25200.0,Arizona,,"['ang', 'kagandahan', 'parang', 'janet', 'napoles', 'hindi', 'alam', 'ang', 'hard', 'ahahaha']"
,'398755406660374528',1383876872.0,CHAmpaloks,"@ShutangInaDre: Ang kagandahan mo parang JANET NAPOLES. ""Hindi ko alam!""",tl,14.35021103,121.08796323,Philippines,-32400.0,Alaska,,"['ang', 'kagandahan', 'parang', 'janet', 'napoles', 'hindi', 'alam']"
,'398756068425080832',1383877029.0,ronncedric12,@laslasnafriend: Smile smile din pag may crime. #Napoles http://t.co/bGGzZahf7M,en,15.75884731,121.5605345,"Baler, Aurora",28800.0,Singapore,,"['smile', 'smile', 'din', 'pag', 'crime', 'napole']"
,'398756658211336192',1383877170.0,Jilicaaaaa,"""@ShutangInaDre: Ang kagandahan mo parang JANET NAPOLES. ""Hindi ko alam!""""",tl,14.5343689,121.0018571,,28800.0,Beijing,,"['ang', 'kagandahan', 'parang', 'janet', 'napoles', 'hindi', 'alam']"
,'398756780173307905',1383877199.0,lanzor_ph,@rapplerdotcom Napoles just comfortable in life? With 7 cars as she claimed? That's a high standard! #Napoles,en,14.59071875,121.03555231,"Manila, Philippines",28800.0,Hong Kong,,"['napoles', 'comfortable', 'life', 'car', 'claim', 'high', 'standard', 'napole']"
,'398757030199955456',1383877259.0,CheeckyTricia,"""@ShutangInaDre: Ang kagandahan mo parang JANET NAPOLES. ""Hindi ko alam!""""",tl,15.756035199999998,121.5541093,BLR,-32400.0,Alaska,,"['ang', 'kagandahan', 'parang', 'janet', 'napoles', 'hindi', 'alam']"
,'398757146096959489',1383877286.0,SharonAniciete,@gmanews: Napoles' denials can be used against her Escudero http://t.co/jN870qGhfm RT,en,14.57349131,121.00683192,"Manila, Philippines",,,,"['napole', 'denial', 'escudero']"
,'398757628060241920',1383877401.0,imemarchelle,"""@syakniJayR: @imemarchelle hindi ko po alam.. xD"" am I talking to Ms. Janett Napoles? Lol x)",tl,14.5862766,120.97727040000001,,28800.0,Hong Kong,,"['hindi', 'alam', 'talk', 'ms.', 'janett', 'napoles', 'lol']"
,'398758523699331072',1383877615.0,coffee0818,"Dear #YolandaPH, can you please make bitbit #Napoles with you ? Bagyo din ng kasinungalingan eh. Category 10 ?",tl,14.61626387,121.07624173,Manila,32400.0,Seoul,,"['dear', 'yolandaph', 'bitbit', 'napoles', 'bagyo', 'din', 'kasinungalingan', 'category']"
,'398758561339031553',1383877624.0,melvinvillamil,@inquirerdotnet @nababaha Sa path ng bagyo none to moderate rain lang? Mukhang kulang tayo sa instruments. Binulsa kasi ni Napoles yung fund,tl,14.608479800000001,121.0971429,Philippines,28800.0,Hong Kong,,"['path', 'bagyo', 'moderate', 'rain', 'lang', 'mukhang', 'kulang', 'tayo', 'instrument', 'binulsa', 'kasi', 'napoles', 'yung', 'fund']"
,'398759201830207488',1383877776.0,coffee0818,"Dear #YolandaPH, willing namin ialay ng buo si #Napoles Lumayas kalang. #PrayForThePhilippines and pray for Yolanda to make bitbit Napoles",en,14.61608172,121.07642542,Manila,32400.0,Seoul,,"['dear', 'yolandaph', 'willing', 'namin', 'ialay', 'buo', 'napoles', 'lumayas', 'kalang', 'prayforthephilippine', 'pray', 'yolanda', 'bitbit', 'napole']"
,'398759347192217600',1383877811.0,Patriciooojamon,@BagyongYoIanda: Wag kayong mag-alala isasama ko si napoles. Hahaha,tl,14.42873691,120.96749566,"Bacoor,Cavite Philippines",-28800.0,Pacific Time (US & Canada),,"['wag', 'kayong', 'mag', 'alala', 'isasama', 'napole', 'hahaha']"
,'398759692261810176',1383877893.0,gheann_23,"""@imkerwinking: I-alay na si Napoles! Para tumigil na si Yolanda""",tl,14.499038800000001,121.17345359999999,,-32400.0,Alaska,,"['alay', 'napoles', 'para', 'tumigil', 'yolanda']"
,'398760088854224896',1383877988.0,imemarchelle,@syakniJayR ano ba sinesekreto mo ah napoles? HAHAHA X))),tl,14.5862768,120.9772703,,28800.0,Hong Kong,,"['ano', 'sinesekreto', 'napole', 'hahaha']"
