,id,created_at,user,text,language,lat,lng,user location,user utc offset,user time zone,,lemmas,
,'398754224462245890',1383876590,Flawless1127,Kung dati ang meaning ng NP no problem ngayon NAPOLES PANGET ,tl,15.73253,120.5652,tarlac,28800,Singapore,,"['kung', 'dati', 'ang', 'mean', 'problem', 'ngayon', 'napoles', 'panget']",
,'398757146096959489',1383877286,SharonAniciete,@gmanews: Napoles' denials can be used against her Escudero http://t.co/jN870qGhfm RT,en,14.57349131,121.00683192,"Manila, Philippines",,,,"['napole', 'denial', 'escudero']",
,'398761332347924481',1383878284,TheTonie_Khaela,I hate you more than i hate napoles.,en,9.98490373,122.81774232,Philippines,-39600,Midway Island,,"['hate', 'hate', 'napole']",
,'398763346935021568',1383878765,Flawless1127,Yolanda ano bang gusto mo?? Gue libre na si Napoles ... She's all yours xD,tl,15.73253,120.5652,tarlac,28800,Singapore,,"['yolanda', 'ano', 'bang', 'gusto', 'gue', 'libre', 'napoles']",
,'398770821788729344',1383880547,sioPAUpao,@VitugKersh @savinggrace_09 kamaganak tya galang i Napoles? ahah,tl,14.94929236,120.59552603,Pampanga,-28800,Pacific Time (US & Canada),,"['kamaganak', 'tya', 'galang', 'napoles', 'ahah']",
,'398776861330661376',1383881987,engraldrin,BASHA vs NAPOLES [pic]  https://t.co/SZVFPmI9MG,en,14.55073,121.02108,"Makati, Philippines",28800,Singapore,,"['basha', 'napoles', 'pic']",
,'398779510268497920',1383882618,gracia_gracia,@butterbaby uy ang funny nung napoles zone ni cher lou! ,tl,14.59683928,121.02108571,,28800,Singapore,,"['ang', 'funny', 'nung', 'napole', 'zone', 'cher', 'lou']",
,'398783772125954050',1383883634,TsinELIAS,Grabe ang lakas ng hangin. Sana naman liparin na si napoles.,tl,14.38707155,120.98914586,Molino Bacoor Cavite,28800,Perth,,"['grabe', 'ang', 'lakas', 'hangin', 'sana', 'naman', 'liparin', 'napole']",
,'398791066775605248',1383885374,MJDiaz21,"Oh Yolanda! Inaalay namin sayo si Napoles, tumigil ka lang!",tl,14.56987,121.00158,"Bacolod City, Philippines",28800,Beijing,,"['yolanda', 'inaalay', 'namin', 'sayo', 'napoles', 'tumigil', 'lang']",
,'398796499665965056',1383886669,8trxcks,"""@BagyongYoIanda: Di ako maka alis di ko mahanap si napoles."" Ohmyhod",tl,14.5562707,121.0420132,,-28800,Pacific Time (US & Canada),,"['ako', 'maka', 'alis', 'mahanap', 'napole', 'ohmyhod']",
,'398804895840477185',1383888671,TsinELIAS,Grabe ang lakas ng hangin tang ina kasi ni napoles,tl,14.38707929,120.98915424,Molino Bacoor Cavite,28800,Perth,,"['grabe', 'ang', 'lakas', 'hangin', 'tang', 'ina', 'kasi', 'napole']",
,'398807849574215680',1383889375,DotAdikx,Hindi ko po alam! Pakshit ka napoles!! #NapolesZoned,tl,7.06869183,125.61914995,Davao City,-28800,Pacific Time (US & Canada),,"['hindi', 'alam', 'pakshit', 'napole', 'napoleszon']",
,'398816448002260993',1383891425,laralei_xo,@arviril goodnight. hahaha mahal ka ni napoles wuv u ,tl,14.669752,121.1482263,London ,-25200,Arizona,,"['goodnight', 'hahaha', 'mahal', 'napole', 'wuv']",
,'398820445329166336',1383892378,beaminggg,Aurelli and Joan kayo ba si napoles bat di nyo alam na nilandi nyo ko,tl,14.5802967,121.092844,kyumin bed,-32400,Alaska,,"['aurelli', 'joan', 'kayo', 'napoles', 'bat', 'nyo', 'alam', 'nilandi', 'nyo']",
,'398830183819796480',1383894700,TheMobsD,moi and janet lim-napoles.  @ Moonleaf Tea Shop http://t.co/HSg9XQWbAb,nl,14.56112627,121.01553225,"23, Manila & Irrelevant",28800,Beijing,,"['moi', 'janet', 'lim', 'napole', 'moonleaf', 'tea', 'shop']",
,'398835297774870528',1383895919,ejvillaruel,"""@callalistaJOY: ""Si Napoles lang talaga sinadya ko"" -Yolanda""",tl,14.4588778,120.5953205,Bataan Philippines ,28800,Beijing,,"['napoles', 'lang', 'talaga', 'sinadya', '-yolanda']",
,'398872422146777089',1383904770,JInferido,"2014 pork barrel fund, isusuko ng 4 na senador http://t.co/mnoZeIFZlp #patrolpork #GMAnews",tl,10.3337292,123.9092806,Cebu ,,,,"['pork', 'barrel', 'fund', 'isusuko', 'senador', 'patrolpork', 'gmanew']",
,'398984216072835073',1383931424,chartinimanuel,"@CallMeDonyaIna: Anak, si Yolanda nasa labas, hinahanap ka niya. Papapasukin ko ba? Labyu""Hindi ko alm""#napoles",tl,14.31896273,120.91735343,caloocan city,,,,"['anak', 'yolanda', 'nasa', 'labas', 'hinahanap', 'niya', 'papapasukin', 'labyu""hindi', 'alm""#napoles']",
,'399013728886063104',1383938460,YanQuinones,"Since mukha namang lost cause si Napoles,pwede ko din bang sabihin sa gobyerno that I revoke my duty to pay my taxes? #scrapPork #PatrolPork",tl,14.7028777,121.10964183,Underneath the waves :),28800,Taipei,,"['mukha', 'namang', 'lose', 'cause', 'napoles', 'pwede', 'din', 'bang', 'sabihin', 'gobyerno', 'revoke', 'duty', 'pay', 'tax', 'scrappork', 'patrolpork']",
,'398098528439762944',1383720260,alnasnutella,@EmmaGxxxx_ yes you better sleep or else ma bagyo ged jk good night gwaptoots :),en,9.9902175,122.8095883,"Sugar Ln, Oneida, NY",-18000,Quito,,"['yes', 'better', 'sleep', 'bagyo', 'good', 'night', 'gwaptoot']",
,'398099558757965824',1383720505,darksheep20,#YolandaPH wag na dagdag problema.. keep safe everyone.. God bless,tl,7.13085188,125.62109697,,,,,"['yolandaph', 'wag', 'dagdag', 'problema', 'safe', 'god', 'bles']",
,'398100331998896128',1383720690,emzeyxx,"Tangina Yolanda, lumayo ka.",tl,11.96546194,121.92342651,dancing with miley,-28800,Pacific Time (US & Canada),,"['tangina', 'yolanda', 'lumayo']",
,'398101714059792384',1383721019,yelobutrfly,"Early Goodnight! Praying Yolanda will spare the Phils  from another calamity. Father God, magpaPasko na po, please keep our kababayans safe.",en,14.44223066,120.9817479,,,,,"['early', 'goodnight', 'pray', 'yolanda', 'spare', 'phils', 'calamity', 'father', 'god', 'magpapasko', 'kababayan', 'safe']",
,'398102364147560448',1383721174,berrywoah,"Boy: Grabe! Tnuod jod tong signal #4 nga bagyo?Girl: Tnuod cguro, mao may gisulti sa ""PHILVOCS""Hahahahahahahahahaha ka amaw",tl,10.3071741,123.8803521,"Cebu City, Philippines ",-25200,Arizona,,"['boy', 'grabe', 'tnuod', 'jod', 'tong', 'signal', 'nga', 'bagyo?girl', 'tnuod', 'cguro', 'mao', 'gisulti', 'philvocs""hahahahahahahahahaha', 'amaw']",
,'398103002306719745',1383721326,charisgeorgette,Delubyo daw ang typhoon :( waaaa nakakatakot..,tl,14.34327491,121.0470935,jef's ,,,,"['delubyo', 'daw', 'ang', 'typhoon', 'waaaa', 'nakakatakot']",
,'398103368981172224',1383721414,psychoPATkiller,@maryortegsss ha? Haha lost sorry :)) uy paano ka bukas? Super typhoon ah :O,tl,14.25615443,121.05560239,"Sta. Rosa, Laguna",25200,Novosibirsk,,"['haha', 'lose', 'sorry', 'paano', 'bukas', 'super', 'typhoon']",
,'398104126107578368',1383721594,juliaaane,Super typhoon sa Samar? Omg wag ,tl,14.55770336,121.04597181,MNL,28800,Hong Kong,,"['super', 'typhoon', 'samar', 'omg', 'wag']",
,'398104795220672513',1383721754,alitt,praying for the safety of my fellowmen in the visayas as typhoon yolanda nears. God bless us all.,en,14.4449295,120.974968,Philippines,-28800,Pacific Time (US & Canada),,"['pray', 'safety', 'fellowman', 'visayas', 'typhoon', 'yolanda', 'near', 'god', 'bles']",
,'398105347614715905',1383721885,topeycalangi,Yolanda yumao ka!,tr,14.70475985,121.03286812,"Manila, Philippines",28800,Beijing,,"['yolanda', 'yumao']",
,'398105957353287680',1383722031,patrickdyechox,Bagyo before midnight haha. Sana suspended! :))),tl,14.591858,121.1075755,Neverland,28800,Beijing,,"['bagyo', 'midnight', 'haha', 'sana', 'suspend']",
,'398106560859103232',1383722175,reddygetsetgo,Super Typhoon Yolanda expected to enter PAR before midnight ,en,14.57895961,121.04664399,,-28800,Pacific Time (US & Canada),,"['super', 'typhoon', 'yolanda', 'expect', 'enter', 'par', 'midnight']",
,'398107033192239104',1383722287,EnigmaticRnz,#YolandaPH Yolanda PaHirap! :))),tr,14.61172137,120.96796086,Nirvana,28800,Hong Kong,,"['yolandaph', 'yolanda', 'pahirap']",
,'398107717606182913',1383722451,alexiscerado,Keep safe everyone! #SuperTyphoon,en,14.46335227,121.01105756,Paranaque City | UST,-32400,Alaska,,"['safe', 'supertyphoon']",
,'398108243899076608',1383722576,vancecore,@sanMIGZ_lite nasuya as attention ni Yolanda,tl,10.25539344,123.8558471,,28800,Beijing,,"['nasuya', 'attention', 'yolanda']",
,'398108758997352449',1383722699,Vellalat,"Ayaw lang dungana ang uyog ug bagyo, Lord..",tl,10.38933987,123.95014729,Queen City of the South,28800,Beijing,,"['ayaw', 'lang', 'dungana', 'ang', 'uyog', 'bagyo', 'lord']",
,'398110036364255234',1383723003,CHIQUINJOY,Yolanda way ar u layk dat? Di kami natuloy mag-outing dahil sayo T_T,tl,14.6178788,120.9637243,,28800,Beijing,,"['yolanda', 'way', 'layk', 'dat', 'kami', 'natuloy', 'mag', 'outing', 'dahil', 'sayo', 't_t']",
,'398111368626200576',1383723321,anabanana1101,Naa gyuy taw mangitag kisaw murag bagyo na Yolandz. Hmmmmmmmm ikaw na girl ikaw na,tl,10.31052887,123.90053936,"Cebu City, Philippines",28800,Singapore,,"['naa', 'gyuy', 'taw', 'mangitag', 'kisaw', 'murag', 'bagyo', 'yolandz', 'hmmmmmmmm', 'ikaw', 'girl', 'ikaw']",
,'398112699902459904',1383723638,AnjieTabz,"""@Hellorubiroo: para kang si Yolanda... sagabal"" HAHAHAHAHAHAHA! Wala pa sya gne kaabot, halit na? Peace tayo t'swipp. :)",tl,11.57276417,122.77076237,N 1135' 0'' / E 12245' 0'',28800,Singapore,,"['para', 'kang', 'yolanda', 'sagabal', 'hahahahahahaha', 'wala', 'sya', 'gne', 'kaabot', 'halit', 'peace', 'tayo', ""t'swipp""]",
,'398113473848016896',1383723823,yamyouie,"malakas na bagyo po ang darating, ingat ang lahat #YolandaPH",tl,14.7865026,121.0664113,BLCN.MNDR,-28800,Pacific Time (US & Canada),,"['malakas', 'bagyo', 'ang', 'darat', 'ingat', 'ang', 'lahat', 'yolandaph']",
,'398115085966512128',1383724207,thisgrasya,Sabi may bagyo pero bakit ang init? Hmmm.. mas gugustuhin ko ng mainit kesa ung bumagyo. lol,tl,14.58305873,121.10242522,sistar's dorm,28800,Beijing,,"['sabi', 'bagyo', 'pero', 'bakit', 'ang', 'init', 'hmmm', 'gugustuhin', 'mainit', 'kesa', 'ung', 'bumagyo', 'lol']",
,'398116238284423168',1383724482,nicesumalinog,Super typhoon dw si yolanda?? Keep safe everyone ,tl,7.05065952,125.55673454,Davao City ,-32400,Alaska,,"['super', 'typhoon', 'yolanda', 'safe']",
,'398117587885625344',1383724804,ItsmeThessaniel,There's an aftershock mygadd and there's a super typhoon?present happenings in visayas #PrayForUs :(,en,10.3001963,123.8711469,"manila,philippines",0,London,,"['aftershock', 'mygadd', 'super', 'typhoon?present', 'happening', 'visayas', 'prayforus']",
,'398118815579385857',1383725096,salutrafa,"In other news, I am frightened of the super typhoon!",en,14.57771185,120.99486719,"MNL, PHL",28800,Hong Kong,,"['news', 'frightened', 'super', 'typhoon']",
,'398120026143612928',1383725385,JoPaoMarPog,Lord unta way mag suffer sa bagyo na muabot ugma . ,tl,7.05075987,125.56591253,,-18000,Quito,,"['lord', 'unta', 'way', 'mag', 'suffer', 'bagyo', 'muabot', 'ugma']",
,'398121041593004032',1383725627,WotzenTiger,Goodnight #bacolod #YolandaPH,en,10.6823513,122.9546013,Bacolod City,28800,Hong Kong,,"['goodnight', 'bacolod', 'yolandaph']",
,'398122845575729152',1383726057,accentpreacher,take care eastern and central visayas peeps. amping jud! #YolandaPH http://t.co/uS2yXIVcSr,en,14.61485445,121.0659927,"Quezon City, PH",28800,Urumqi,,"['care', 'eastern', 'central', 'visayas', 'peep', 'amp', 'jud', 'yolandaph']",
,'398123943535472640',1383726319,dc_perp,@Sofiyadayada lol Yolanda is the name of my prof :)),en,14.49262085,121.00678101,,28800,Hong Kong,,"['lol', 'yolanda', 'prof']",
,'398126943293276161',1383727034,wandergel,May typhoon on Friday??? What nooo omg,en,14.50577008,121.00489337,"MNL, PH",-32400,Alaska,,"['typhoon', 'friday', 'nooo', 'omg']",
,'398128147176361984',1383727321,supiezajd,Nawala na yung napakaraming bituin sa kalangitan.Naman ohh:-( #YolandaPH,tl,9.90781583,124.22415045,Philippines,,,,"['nawala', 'yung', 'napakaram', 'bituin', 'kalangitan', 'naman', 'ohh:-', 'yolandaph']",
,'398129856694607873',1383727729,mchX,This too shall pass #YolandaPH #sanahuminana,en,14.20946717,121.11187105,at the fairways...,28800,Taipei,,"['shall', 'pass', 'yolandaph', 'sanahuminana']",
,'398131713861484544',1383728172,allEduardo,Getting ready for TyphoonYolanda (Haiyan). Stay safe and dry everyone!  @clingesmeralda http://t.co/hLxbsotKZi,en,10.33073094,123.90576124,"Cebu City, Phils.",28800,Hong Kong,,"['get', 'ready', 'typhoonyolanda', 'haiyan', 'stay', 'safe', 'dry']",
,'398132684980899840',1383728403,NoOtherNico,"Basically as of this very moment, it is now the strongest storm that appeared worldwide this 2013. Please pray. #YolandaPH",en,14.5472481,121.0127734,Makati City,28800,Beijing,,"['basically', 'moment', 'strong', 'storm', 'appear', 'worldwide', 'pray', 'yolandaph']",
