,id,created_at,user,text,language,lat,lng,user location,user utc offset,user time zone,,lemmas,
,'398750036554555392',1383875591,FIDERalism,"Andaming pera ni napoles, di niya naisipang pagawa muka niya?",tl,14.61060758,121.03691935,IG-@FIDERalism,28800,Beijing,,"['andam', 'pera', 'napole', 'niya', 'naisipang', 'pagawa', 'muka', 'niya']",
,'398755365073874944',1383876862,iamjmpg,"@ShutangInaDre: Ang kagandahan mo parang JANET NAPOLES. ""Hindi ko alam!"" Ang hard. Ahahaha",tl,14.73448661,121.15201449,Philippines,-25200,Arizona,,"['ang', 'kagandahan', 'parang', 'janet', 'napoles', 'hindi', 'alam', 'ang', 'hard', 'ahahaha']",
,'398759201830207488',1383877776,coffee0818,"Dear #YolandaPH, willing namin ialay ng buo si #Napoles Lumayas kalang. #PrayForThePhilippines and pray for Yolanda to make bitbit Napoles",en,14.61608172,121.07642542,Manila,32400,Seoul,,"['dear', 'yolandaph', 'willing', 'namin', 'ialay', 'buo', 'napoles', 'lumayas', 'kalang', 'prayforthephilippine', 'pray', 'yolanda', 'bitbit', 'napole']",
,'398762169098969088',1383878484,rachel_shines,"Yolanda, inaalay po namin si Napoles. Umalis ka na teh.",tl,14.69045442,121.04493648,QC,-28800,Pacific Time (US & Canada),,"['yolanda', 'inaalay', 'namin', 'napoles', 'umalis', 'teh']",
,'398764788521529344',1383879108,chicsersanity,@EJersen wag . Si yolanda lang ang aalis . Respect napoles :),tl,14.3281356,120.9620791,6/6,28800,Hong Kong,,"['wag', 'yolanda', 'lang', 'ang', 'aalis', 'respect', 'napole']",
,'398772326231052288',1383880906,EljeiPortin,@ApleCudia napoles? Hahahahaha,tl,15.1429103,120.5957522,"Pampanga, Philippines",28800,Beijing,,"['napole', 'hahahahaha']",
,'398777672441929728',1383882180,JBalmonte13,@beayuutifulsoul ou nga eh. Madudulas na si napoles. Haha,tl,9.76201454,118.75005319,Philippines,-32400,Alaska,,"['nga', 'madudula', 'napole', 'haha']",
,'398782005015359488',1383883213,_ramedz,@KarishaWong lel. Nag-napoles bigla amp,tl,14.6199666,121.1141539,Philippines,28800,Singapore,,"['lel', 'nag', 'napole', 'bigla', 'amp']",
,'398787692252516352',1383884569,justmeDennis,Ms Supranational 2013- PhilippinesMs world 2013 - Philippines PorkBarrel queen 2013- Philippines   https://t.co/igBJlYQr1D,en,14.53004,121.04952,In your dreams  FORTBONIFACIO,-39600,International Date Line West,,"['supranational', '2013-', 'philippinesms', 'world', 'philippines', 'porkbarrel', 'queen', '2013-', 'philippine']",
,'398793483760050176',1383885950,swaggerhereJM,Yolanda pag umalis ka ng PAR siguraduhin mong isasama mo si Napoles nakoo!,tl,14.4730648,121.1897533,"Calumpang,Binangonan,Rizal",28800,Beijing,,"['yolanda', 'pag', 'umalis', 'par', 'siguraduhin', 'mong', 'isasama', 'napoles', 'nakoo']",
